,am10,am11,am12,am13,am14,am15,am1,am2,am3,am4,am5,am6,am7,am8,am9,pa10,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,pw10,pw11,pw1,pw2,pw3,pw4B,pw5,pw6,pw7,pw8B,pw9,wi1,wi2,wi4,wi7,wi8,wi9
pw10,-0.30176,-0.347147,-0.272865,0.125146,0.0742612,0.12429,0.199194,0.0916767,0.120178,0.188584,-0.193255,-0.670111,-0.311585,0.238681,-0.152632,0.179596,0.24355,0.161948,0.0986424,0.196514,0.119109,0.242951,-0.694543,0.0471206,-0.629167,1.66931,0.321236,0.0797978,0.0983636,0.0963834,-0.626705,-0.614922,-0.660043,-0.608262,0.294701,0.411773,0.100889,0.12805,-0.615006,-0.621955,1.07902,0.377719
pw11,-0.287793,-0.183087,-0.227701,0.0127178,0.0560515,0.139433,0.079565,0.0942648,0.104997,0.227926,-0.24735,-0.583549,-0.334329,0.18236,-0.152672,0.120607,0.22268,0.153727,0.113803,0.0954347,0.193164,0.207524,-0.495068,-0.005002,-0.607963,0.321236,1.55158,0.0823694,0.127165,0.0989187,-0.620521,-0.547865,-0.615919,-0.639481,0.647054,0.558545,0.108745,0.0803253,-0.617126,-0.604567,0.518826,0.583617
pw1,-0.260692,1.56E-05,-0.298084,0.096461,0.32027,0.0617886,0.0967032,0.412355,0.0351182,0.106393,-0.353646,-0.676198,-0.333033,0.210818,-0.233269,0.080727,-0.00724935,0.219176,0.648544,-0.00763288,0.130614,0.0475483,-0.679098,0.05406,-0.679965,0.0797978,0.0823694,1.03522,0.697953,0.68783,-0.655018,-0.656963,-0.660097,-0.664679,0.147112,0.197358,0.742488,0.832998,-0.662912,-0.667472,0.117799,0.170677
pw2,-0.291395,-0.0248311,-0.284391,0.0916085,0.308744,0.0521733,0.0690029,0.352343,0.00260395,0.0957197,-0.338176,-0.665719,-0.326999,0.211148,-0.267026,0.06256,-0.0243801,0.253015,0.590745,-0.00965805,0.0970362,0.0207324,-0.666911,0.0490564,-0.687989,0.0983636,0.127165,0.697953,1.0411,0.859892,-0.652426,-0.657203,-0.667623,-0.650022,0.155199,0.181217,0.798553,0.789684,-0.64264,-0.643737,0.119596,0.158183
pw3,-0.31341,-0.00777159,-0.252611,0.0798748,0.2726,0.0655705,0.0756621,0.339419,0.046008,0.115357,-0.329237,-0.681498,-0.339042,0.198508,-0.28579,0.0322384,-0.0200083,0.236138,0.628648,-0.00276152,0.126539,0.0576434,-0.671261,0.0108104,-0.689339,0.0963834,0.0989187,0.68783,0.859892,1.10986,-0.662418,-0.660139,-0.682175,-0.666375,0.155729,0.195368,0.795867,0.775686,-0.639656,-0.644801,0.124509,0.151836
pw4B,0.113499,0.129002,0.37841,-0.605275,-0.621667,-0.644912,-0.582395,-0.609968,-0.583476,-0.577376,0.44351,1.10362,0.404111,-0.645225,0.127217,-0.475251,-0.509979,-0.648247,-0.679479,-0.559946,-0.627427,-0.574896,0.958212,-0.628739,1.43235,-0.626705,-0.620521,-0.655018,-0.652426,-0.662418,2.10807,1.38535,1.62957,1.63773,-0.688064,-0.682748,-0.672509,-0.671844,1.73564,1.47106,-0.66704,-0.667195
pw5,0.0636295,0.12705,0.60432,-0.598438,-0.612876,-0.58764,-0.579239,-0.616145,-0.54134,-0.575228,0.609888,1.28689,0.649712,-0.55538,0.0998204,-0.470076,-0.503873,-0.610997,-0.677726,-0.524694,-0.55783,-0.520548,0.92288,-0.596892,1.80324,-0.614922,-0.547865,-0.656963,-0.657203,-0.660139,1.38535,1.87172,1.06483,1.26408,-0.607672,-0.649745,-0.676255,-0.673718,1.2077,1.50456,-0.658953,-0.628834
pw6,0.140516,0.150432,0.245549,-0.635918,-0.646273,-0.636933,-0.59808,-0.62075,-0.571519,-0.614002,0.255452,1.02836,0.228784,-0.603065,0.153748,-0.458145,-0.546545,-0.67668,-0.690376,-0.578118,-0.62509,-0.556371,0.993116,-0.641627,1.18742,-0.660043,-0.615919,-0.660097,-0.667623,-0.682175,1.62957,1.06483,2.59482,1.87426,-0.669603,-0.676797,-0.650768,-0.659633,2.0022,1.45413,-0.671773,-0.677906
pw7,0.085626,0.124172,0.341775,-0.605962,-0.629235,-0.647734,-0.57229,-0.625382,-0.600032,-0.589714,0.366261,1.04496,0.287888,-0.622859,0.0975268,-0.50497,-0.541792,-0.625341,-0.681297,-0.578829,-0.639934,-0.577848,0.912174,-0.641839,1.32833,-0.608262,-0.639481,-0.664679,-0.650022,-0.666375,1.63773,1.26408,1.87426,2.18613,-0.67123,-0.658365,-0.666325,-0.650286,1.76101,1.66355,-0.656518,-0.660185
pw8B,-0.262646,-0.226882,-0.215225,0.0990329,0.0846919,0.116431,0.0516252,0.133897,0.132313,0.16176,-0.266685,-0.620103,-0.321733,0.103054,-0.205898,0.127775,0.0841321,0.228511,0.17408,0.109387,0.238133,0.197832,-0.617186,0.0592683,-0.670278,0.294701,0.647054,0.147112,0.155199,0.155729,-0.688064,-0.607672,-0.669603,-0.67123,1.39552,0.501706,0.166659,0.157162,-0.631456,-0.636394,0.698487,0.782608
pw9,-0.319553,-0.211806,-0.20725,0.0824318,0.0848925,0.161677,0.114553,0.19701,0.0880047,0.196384,-0.262415,-0.642593,-0.342425,0.147987,-0.172146,0.10666,0.225488,0.175999,0.195524,0.0312307,0.20767,0.174406,-0.667927,0.0114547,-0.657672,0.411773,0.558545,0.197358,0.181217,0.195368,-0.682748,-0.649745,-0.676797,-0.658365,0.501706,1.45151,0.18256,0.181683,-0.636789,-0.650929,0.463999,0.905399
wi1,-0.312015,-0.00709091,-0.315669,0.103888,0.310042,0.0850911,0.0988931,0.381539,0.00468929,0.130613,-0.353158,-0.711085,-0.32565,0.239133,-0.241702,0.0765503,-0.0228994,0.243029,0.620911,-0.0137075,0.0857039,0.0378682,-0.693504,0.0377677,-0.696693,0.100889,0.108745,0.742488,0.798553,0.795867,-0.672509,-0.676255,-0.650768,-0.666325,0.166659,0.18256,1.02134,0.785697,-0.656137,-0.656629,0.137938,0.163344
wi2,-0.310391,-0.042762,-0.320201,0.0543244,0.271583,0.0646667,0.0475686,0.381853,0.0135503,0.0908775,-0.33492,-0.643138,-0.336092,0.200249,-0.176545,0.105168,-0.0337716,0.220377,0.626647,0.00194125,0.0955763,0.0310543,-0.699376,0.016575,-0.686945,0.12805,0.0803253,0.832998,0.789684,0.775686,-0.671844,-0.673718,-0.659633,-0.650286,0.157162,0.181683,0.785697,1.07924,-0.637079,-0.653195,0.171898,0.146608
wi4,0.0929688,0.122837,0.381057,-0.618629,-0.620983,-0.640422,-0.578099,-0.604441,-0.598893,-0.579599,0.386441,1.05563,0.300889,-0.632441,0.107333,-0.483166,-0.515939,-0.627801,-0.655594,-0.54344,-0.638057,-0.555673,0.914815,-0.6464,1.29126,-0.615006,-0.617126,-0.662912,-0.64264,-0.639656,1.73564,1.2077,2.0022,1.76101,-0.631456,-0.636789,-0.656137,-0.637079,2.14196,1.40012,-0.661378,-0.646438
wi7,0.0979461,0.128343,0.422312,-0.617305,-0.595141,-0.620459,-0.602971,-0.615486,-0.56247,-0.589743,0.48847,1.20649,0.529683,-0.631434,0.0802516,-0.474795,-0.532404,-0.620462,-0.674185,-0.543074,-0.619381,-0.560366,0.911246,-0.63112,1.53516,-0.621955,-0.604567,-0.667472,-0.643737,-0.644801,1.47106,1.50456,1.45413,1.66355,-0.636394,-0.650929,-0.656629,-0.653195,1.40012,1.9633,-0.671066,-0.625944
wi8,-0.251879,-0.298317,-0.228865,0.118503,0.100462,0.122926,0.125443,0.124059,0.151739,0.17949,-0.218493,-0.60208,-0.313764,0.159889,-0.148866,0.155643,0.178926,0.131994,0.119557,0.164902,0.168463,0.203429,-0.677571,0.0964587,-0.658865,1.07902,0.518826,0.117799,0.119596,0.124509,-0.66704,-0.658953,-0.671773,-0.656518,0.698487,0.463999,0.137938,0.171898,-0.661378,-0.671066,1.23396,0.65262
wi9,-0.287074,-0.244741,-0.227302,0.10097,0.0938828,0.121528,0.10208,0.158675,0.0971739,0.155194,-0.281612,-0.623152,-0.356819,0.130393,-0.183412,0.131973,0.152675,0.185307,0.133693,0.061233,0.178113,0.148766,-0.613323,0.0215815,-0.670685,0.377719,0.583617,0.170677,0.158183,0.151836,-0.667195,-0.628834,-0.677906,-0.660185,0.782608,0.905399,0.163344,0.146608,-0.646438,-0.625944,0.65262,1.25221
